"Gene","Lineage","count_genomes"
"group_4010_group_4703_group_2246","L1",3
"group_4045_group_4658_group_4470","L4",3
"group_4050_group_4849_group_4534","L4",3
"group_4129_group_4637_group_3858","L4",3
"group_4129_group_4670_group_3407","L2",3
"group_4143_group_1668_group_4667","L5",3
"group_4144_group_1293_group_4835","L6",3
"group_418_group_3731_group_1660","L4",3
"group_41_group_3579_group_2977","L5",3
"group_4241_group_3417_group_4730","L4",3
"group_4241_group_3417_group_4762","L4",3
"group_4298_group_4911_group_3404","L4",3
"group_4311_group_4955_group_4470","L4",3
"group_4339_group_2462_group_4818","L4",3
"group_4339_group_3416_group_4474","L4",3
"group_4364_group_4914_group_4383","L5",3
"group_4365_group_4180_group_4461","L4",3
"group_4366_group_1086_group_4880","L4",3
"group_4376_group_2608_group_4821","L4",3
"group_4387_group_3422_group_4912","L4",3
"group_4451_group_4074_group_4863","L1",3
"group_4470_group_3412_group_4699","L4",3
"group_4552_group_4470_group_4311","L2",3
"group_4637_group_3858_group_4638","L4",3
"group_4664_group_4099_group_4834","L5",3
"group_4823_group_2997_group_4831","L4",3
"group_4842_group_4938_group_3595","L4",3
"group_4842_group_4938_group_4877","L5",3
"group_4844_group_3543_group_4951","L1",3
"group_4894_group_3399_group_4896","L4",3
"group_4928_group_3542_group_4947","L4",3
"group_517_group_3394_group_3419","L4",3
"group_6_group_246_group_3263","L5",3
"group_735_group_4645_group_3965","L6",3
"group_758_group_2854_group_4445","L4",3
"group_841_group_4753_group_4316","L4",3
"group_89_group_3600_group_3427","L4",3
"group_900_group_2067_group_2859","L5",3
"group_919_group_2654_group_3246","L4",3
"group_928_group_2565_group_3966","L6",3
"group_945_group_2224_group_3401","L4",3
"group_960_group_4762_group_3417","L4",3
"group_997_group_2134_group_3429","L4",3
"group_1084_group_3976_group_3410","L4",2
"group_1125_group_3581_group_4515","L4",2
"group_1224_group_3412_group_4470","L4",2
"group_1224_group_3976_group_3434","L4",2
"group_1256_group_411_group_2916","L4",2
"group_1284_group_2633_group_4775","L4",2
"group_1375_group_786_group_3637","L2",2
"group_1456_group_545_group_3421","L4",2
"group_1521_group_422_group_3396","L4",2
"group_1537_group_3405_group_3429","L4",2
"group_1576_group_4669_group_4889","L4",2
"group_1583_group_2935_group_3392","L3",2
"group_1662_group_3426_group_3908","L4",2
"group_1771_group_3470_group_3432","L4",2
"group_1808_group_4186_group_1489","L1",2
"group_1858_group_2617_group_4380","L4",2
"group_1889_group_1900_group_3887","L2",2
"group_2031_group_1125_group_3581","L4",2
"group_2035_group_4253_group_3390","L5",2
"group_2063_group_2076_group_3220","L4",2
"group_2067_group_2859_group_3413","L5",2
"group_2101_group_805_group_3659","L4",2
"group_2131_group_4683_group_3172","L3",2
"group_2222_group_4286_group_2978","L4",2
"group_2223_group_2210_group_2747","L4",2
"group_2295_group_4298_group_4538","L2",2
"group_2346_group_4311_group_3412","L2",2
"group_2371_group_956_group_3778","L4",2
"group_237_group_3659_group_805","L4",2
"group_2402_group_1822_group_3168","L2",2
"group_2410_group_4347_group_2775","L2",2
"group_2419_group_3541_group_3553","L3",2
"group_2419_group_4325_group_3413","L3",2
"group_2452_group_3005_group_2965","L2",2
"group_2462_group_4818_group_4451","L4",2
"group_246_group_3263_group_3600","L5",2
"group_2503_group_2245_group_2903","L6",2
"group_2521_group_1489_group_4186","L1",2
"group_2558_group_1847_group_2955","L2",2
"group_2569_group_4369_group_3733","L4",2
"group_2608_group_3408_group_3432","L2",2
"group_2619_group_4381_group_4468","L4",2
"group_2633_group_4775_group_1227","L4",2
"group_2723_group_2214_group_3433","L2",2
"group_2745_group_2949_group_2916","L4",2
"group_276_group_3676_group_3739","L2",2
"group_2779_group_4407_group_1858","L4",2
"group_2787_group_4521_group_1423","L2",2
"group_2846_group_3058_group_3553","L3",2
"group_2859_group_3413_group_3390","L5",2
"group_2903_group_102_group_3610","L6",2
"group_2906_group_2551_group_1505","L1",2
"group_2909_group_3390_group_3413","L3",2
"group_2928_group_3545_group_3403","L4",2
"group_2928_group_4922_group_3550","L4",2
"group_2935_group_3392_group_3415","L3",2
"group_2998_group_4431_group_2434","L3",2
"group_3059_group_2928_group_3403","L2",2
"group_3065_group_3405_group_3429","L3",2
"group_3065_group_3406_group_3430","L3",2
"group_3088_group_4443_group_3422","L2",2
"group_3119_group_4451_group_4192","L6",2
"group_3127_group_4668_group_3400","L4",2
"group_3151_group_2950_group_2965","L2",2
"group_3168_group_2948_group_4427","L2",2
"group_319_group_1040_group_3936","L4",2
"group_3212_group_2194_group_4621","L3",2
"group_3212_group_3393_group_3418","L3",2
"group_3242_group_1084_group_3977","L4",2
"group_3390_group_3413_group_4325","L3",2
"group_3393_group_3418_group_4812","L3",2
"group_3394_group_3419_group_2977","L5",2
"group_3395_group_3420_group_3396","L4",2
"group_3395_group_3420_group_3551","L4",2
"group_3395_group_3421_group_4951","L4",2
"group_3396_group_3421_group_545","L4",2
"group_3397_group_4468_group_4381","L4",2
"group_3397_group_931_group_3935","L4",2
"group_3399_group_4895_group_3172","L3",2
"group_3403_group_3427_group_3550","L4",2
"group_3404_group_4538_group_4298","L2",2
"group_3405_group_1537_group_4112","L4",2
"group_3405_group_3065_group_3599","L3",2
"group_3405_group_3429_group_3701","L3",2
"group_3405_group_3429_group_4175","L4",2
"group_3405_group_3429_group_4635","L5",2
"group_3405_group_4470_group_3412","L4",2
"group_3406_group_3065_group_3599","L3",2
"group_3406_group_3430_group_3701","L3",2
"group_3406_group_3430_group_4474","L4",2
"group_3406_group_4918_group_3119","L6",2
"group_3407_group_3431_group_4681","L2",2
"group_3408_group_2608_group_4375","L2",2
"group_3408_group_3432_group_4376","L2",2
"group_3409_group_3433_group_2214","L2",2
"group_3409_group_4284_group_4377","L2",2
"group_3410_group_4473_group_4873","L2",2
"group_3410_group_4903_group_1402","L3",2
"group_3411_group_3434_group_4473","L3",2
"group_3412_group_4470_group_1084","L4",2
"group_3412_group_4470_group_4552","L2",2
"group_3413_group_3390_group_4253","L5",2
"group_3414_group_4858_group_3568","L4",2
"group_3416_group_3966_group_4471","L2",2
"group_3418_group_4812_group_1711","L3",2
"group_3419_group_2977_group_3579","L5",2
"group_3419_group_3394_group_3954","L5",2
"group_3420_group_3395_group_3421","L4",2
"group_3420_group_3396_group_4561","L4",2
"group_3421_group_4951_group_4844","L4",2
"group_3424_group_4120_group_4399","L4",2
"group_3427_group_3403_group_2928","L2",2
"group_3427_group_3403_group_3545","L4",2
"group_3427_group_3550_group_3437","L4",2
"group_342_group_4559_group_4939","L2",2
"group_3433_group_3409_group_4284","L2",2
"group_3434_group_4473_group_4873","L3",2
"group_3437_group_3550_group_4922","L4",2
"group_3469_group_4483_group_3432","L4",2
"group_3470_group_3432_group_4483","L4",2
"group_3543_group_4844_group_2144","L1",2
"group_3552_group_4498_group_2694","L3",2
"group_3670_group_3426_group_4548","L4",2
"group_3670_group_3426_group_4698","L5",2
"group_3683_group_4887_group_2787","L2",2
"group_3708_group_4889_group_4669","L4",2
"group_3775_group_4548_group_3426","L4",2
"group_3976_group_3410_group_4903","L4",2
"group_3976_group_3434_group_3544","L4",2
"group_3977_group_1084_group_4470","L4",2
"group_3989_group_1118_group_1640","L6",2
"group_4139_group_4907_group_1827","L2",2
"group_4187_group_4678_group_2747","L4",2
"group_4192_group_4451_group_4818","L4",2
"group_4192_group_4451_group_4863","L1",2
"group_4192_group_4451_group_4864","L5",2
"group_4214_group_4681_group_3431","L2",2
"group_422_group_3396_group_3421","L4",2
"group_4241_group_3722_group_699","L4",2
"group_4241_group_4917_group_4439","L4",2
"group_424_group_3733_group_4369","L4",2
"group_427_group_2906_group_2551","L1",2
"group_4311_group_3412_group_4470","L2",2
"group_4374_group_4471_group_4821","L4",2
"group_4387_group_3422_group_4443","L2",2
"group_43_group_3487_group_3223","L4",2
"group_4431_group_4471_group_3966","L2",2
"group_445_group_3739_group_3676","L2",2
"group_4469_group_3399_group_4894","L4",2
"group_446_group_3740_group_966","L4",2
"group_4473_group_3410_group_4903","L2",2
"group_4486_group_4487_group_3223","L4",2
"group_4499_group_4919_group_3552","L3",2
"group_4573_group_4574_group_2978","L4",2
"group_4627_group_3908_group_3426","L4",2
"group_4894_group_3399_group_4895","L4",2
"group_4903_group_3544_group_3434","L4",2
"group_4928_group_4949_group_4939","L2",2
"group_651_group_966_group_3740","L4",2
"group_89_group_3600_group_3263","L5",2
"group_921_group_1945_group_3220","L4",2
"group_931_group_3397_group_4468","L4",2
"group_933_group_3936_group_1040","L4",2
"group_956_group_3778_group_4592","L4",2
"group_983_group_1402_group_4903","L3",2
"group_990_group_3952_group_3887","L2",2
